question_set,variant,n,route_change_rate,brier,delta_brier_vs_base,log_score,delta_log_vs_base
2025-04-13-llm,horizon_150,1529,0.10595160235448005,0.17577225178368205,0.005608717964204313,0.5192196104645006,0.012388538920990233
2025-04-13-llm,horizon_9999,1529,0.0,0.17016353381947774,0.0,0.5068310715435104,0.0
2025-04-13-llm,search_enabled_low,1529,0.002616088947024199,0.17003634856084296,-0.00012718525863478214,0.506560653363558,-0.0002704181799523253
2025-04-27-llm,base,1561,0.0,0.1906851666255949,0.0,0.5573410583364451,0.0
2025-04-27-llm,hist_coverage_minus_0.10,1561,0.0,0.1906851666255949,0.0,0.5573410583364451,0.0
2025-04-27-llm,hist_coverage_plus_0.10,1561,0.0,0.1906851666255949,0.0,0.5573410583364451,0.0
2025-04-27-llm,market_sharpness_minus_0.05,1561,0.0032030749519538757,0.19068181863030156,-3.347995293334627e-06,0.5573342443481896,-6.81398825552737e-06
2025-04-27-llm,market_sharpness_plus_0.05,1561,0.0025624599615631004,0.19065462645517098,-3.054017042392054e-05,0.5572749097068822,-6.614862956288992e-05
2025-04-27-llm,prior_sharpness_minus_0.06,1561,0.0012812299807815502,0.19065260811932455,-3.2558506270347065e-05,0.5572589284966545,-8.212983979061228e-05
2025-04-27-llm,prior_sharpness_plus_0.06,1561,0.0,0.1906851666255949,0.0,0.5573410583364451,0.0
2025-04-27-llm,source_prior_minus_0.06,1561,0.0,0.1906851666255949,0.0,0.5573410583364451,0.0
2025-04-27-llm,source_prior_plus_0.06,1561,0.0,0.1906851666255949,0.0,0.5573410583364451,0.0
2025-04-27-llm,noisy_strength_minus_0.05,1561,0.19538757206918642,0.198649463546431,0.007964296920836111,0.5749807168425508,0.017639658506105715
2025-04-27-llm,noisy_strength_plus_0.05,1561,0.19538757206918642,0.1937281356991099,0.003042969073515006,0.5636261777897519,0.006285119453306787
2025-04-27-llm,horizon_150,1561,0.10506085842408712,0.1931961841754929,0.0025110175498979925,0.5633084231776511,0.005967364841205969
2025-04-27-llm,horizon_9999,1561,0.0,0.1906851666255949,0.0,0.5573410583364451,0.0
2025-04-27-llm,search_enabled_low,1561,0.0025624599615631004,0.19072491377203993,3.974714644502941e-05,0.5574258939817669,8.483564532180132e-05
2025-05-11-llm,base,1530,0.0,0.18638245896391825,0.0,0.5478583083517136,0.0
2025-05-11-llm,hist_coverage_minus_0.10,1530,0.0,0.18638245896391825,0.0,0.5478583083517136,0.0
2025-05-11-llm,hist_coverage_plus_0.10,1530,0.0,0.18638245896391825,0.0,0.5478583083517136,0.0
2025-05-11-llm,market_sharpness_minus_0.05,1530,0.0032679738562091504,0.18634428843603687,-3.817052788138153e-05,0.5477814321411442,-7.687621056939875e-05
2025-05-11-llm,market_sharpness_plus_0.05,1530,0.0032679738562091504,0.186361169607187,-2.128935673126331e-05,0.5478134814340264,-4.4826917687146306e-05
2025-05-11-llm,prior_sharpness_minus_0.06,1530,0.00065359477124183,0.1864027246779398,2.0265714021555636e-05,0.5479091811503651,5.087279865156891e-05
2025-05-11-llm,prior_sharpness_plus_0.06,1530,0.0,0.18638245896391825,0.0,0.5478583083517136,0.0
2025-05-11-llm,source_prior_minus_0.06,1530,0.0,0.18638245896391825,0.0,0.5478583083517136,0.0
2025-05-11-llm,source_prior_plus_0.06,1530,0.0,0.18638245896391825,0.0,0.5478583083517136,0.0
2025-05-11-llm,noisy_strength_minus_0.05,1530,0.1980392156862745,0.1928170868676304,0.006434627903712159,0.5622676473297529,0.01440933897803931
2025-05-11-llm,noisy_strength_plus_0.05,1530,0.2019607843137255,0.18916278395105138,0.002780324987133126,0.5540048964053249,0.006146588053611346
2025-05-11-llm,horizon_150,1530,0.10392156862745099,0.18887763982632494,0.0024951808624066873,0.5535191185015145,0.00566081014980091
2025-05-11-llm,horizon_9999,1530,0.0,0.18638245896391825,0.0,0.5478583083517136,0.0
2025-05-11-llm,search_enabled_low,1530,0.00196078431372549,0.18628713236565717,-9.532659826108625e-05,0.5476556272746806,-0.00020268107703291793
2025-05-25-llm,base,1505,0.0,0.18959200956161754,0.0,0.5505027197604655,0.0
2025-05-25-llm,hist_coverage_minus_0.10,1505,0.0,0.18959200956161754,0.0,0.5505027197604655,0.0
2025-05-25-llm,hist_coverage_plus_0.10,1505,0.0,0.18959200956161754,0.0,0.5505027197604655,0.0
2025-05-25-llm,market_sharpness_minus_0.05,1505,0.000664451827242525,0.18959044224245894,-1.5673191585963142e-06,0.5504995846351771,-3.1351252883782266e-06
