question_set,variant,n,route_change_rate,brier,delta_brier_vs_base,log_score,delta_log_vs_base
2025-08-03-llm,prior_sharpness_minus_0.06,1236,0.0,0.1807594034930006,0.0,0.5309285728692981,0.0
2025-08-03-llm,prior_sharpness_plus_0.06,1236,0.0,0.1807594034930006,0.0,0.5309285728692981,0.0
2025-08-03-llm,source_prior_minus_0.06,1236,0.19741100323624594,0.18181188968732892,0.0010524861943283226,0.5330294159602884,0.0021008430909903453
2025-08-03-llm,source_prior_plus_0.06,1236,0.0,0.1807594034930006,0.0,0.5309285728692981,0.0
2025-08-03-llm,noisy_strength_minus_0.05,1236,0.0,0.1807594034930006,0.0,0.5309285728692981,0.0
2025-08-03-llm,noisy_strength_plus_0.05,1236,0.0,0.1807594034930006,0.0,0.5309285728692981,0.0
2025-08-03-llm,horizon_150,1236,0.0889967637540453,0.18255278001734032,0.0017933765243397237,0.5347884787078676,0.003859905838569544
2025-08-03-llm,horizon_9999,1236,0.0,0.1807594034930006,0.0,0.5309285728692981,0.0
2025-08-03-llm,search_enabled_low,1236,0.09870550161812297,0.18122859338446584,0.0004691898914652437,0.531896677724061,0.0009681048547629523
2025-08-17-llm,base,1215,0.0,0.17981611895525546,0.0,0.5281560158957795,0.0
2025-08-17-llm,hist_coverage_minus_0.10,1215,0.18106995884773663,0.17939534660065543,-0.0004207723546000297,0.5272592689779616,-0.0008967469178179366
2025-08-17-llm,hist_coverage_plus_0.10,1215,0.0,0.17981611895525546,0.0,0.5281560158957795,0.0
2025-08-17-llm,market_sharpness_minus_0.05,1215,0.012345679012345678,0.17975148684852804,-6.46321067274136e-05,0.5275974503087089,-0.0005585655870706807
2025-08-17-llm,market_sharpness_plus_0.05,1215,0.019753086419753086,0.17985067332392876,3.45543686733063e-05,0.5286562878227619,0.0005002719269823208
2025-08-17-llm,prior_sharpness_minus_0.06,1215,0.0,0.17981611895525546,0.0,0.5281560158957795,0.0
2025-08-17-llm,prior_sharpness_plus_0.06,1215,0.0,0.17981611895525546,0.0,0.5281560158957795,0.0
